mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
11	11	34	36	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		5	71	B4	4	180
11	11	35	37	0.5		3/4	3/4	4/4	1	1	1/8		1/8	1		6	66	F#4	4	181
11	11	71/2	75/2	0.5		7/8	7/8	4/4	3	3	1/8		1/8	1		7	37	C#2	2	198
11	11	71/2	75/2	0.5		7/8	7/8	4/4	2	3	1/8		1/8	1		7	49	C#3	3	194
11	11	71/2	75/2	0.5		7/8	7/8	4/4	1	1	1/8		1/8	1		6	66	F#4	4	182
12	12	36	38	1.0		0	0	4/4	3	3	1/4		1/4	1		9	39	D#2	2	222
12	12	36	38	1.0		0	0	4/4	2	3	1/4		1/4	1		9	51	D#3	3	215
12	12	36	38	1.5		0	0	4/4	1	1	3/8		1/4	3/2		5	71	B4	4	199
12	12	37	39	0.5		1/4	1/4	4/4	3	2	1/8		1/8	1		5	35	B1	1	216
12	12	37	39	0.5		1/4	1/4	4/4	2	2	1/8		1/8	1		5	47	B2	2	209
12	12	37	39	0.5		1/4	1/4	4/4	2	1	1/8		1/8	1		9	63	D#4	4	205
12	12	37	39	2.0		1/4	1/4	4/4	1	2	1/2		1/2	1		6	66	F#4	4	203
12	12	75/2	79/2	0.5		3/8	3/8	4/4	3	2	1/8		1/8	1		5	35	B1	1	217
12	12	75/2	79/2	0.5		3/8	3/8	4/4	2	2	1/8		1/8	1		5	47	B2	2	210
12	12	75/2	79/2	0.5		3/8	3/8	4/4	2	1	1/8		1/8	1		9	63	D#4	4	206
12	12	75/2	79/2	0.5		3/8	3/8	4/4	1	1	1/8		1/8	1		3	69	A4	4	200
12	12	38	40	0.5		1/2	1/2	4/4	3	2	1/8		1/8	1		4	40	E2	2	218
12	12	38	40	0.5		1/2	1/2	4/4	2	2	1/8		1/8	1		4	52	E3	3	211
12	12	38	40	1.0		1/2	1/2	4/4	2	1	1/4		1/4	1		5	59	B3	3	207
12	12	38	40	1.0		1/2	1/2	4/4	1	1	1/4		1/4	1		8	68	G#4	4	201
12	12	77/2	81/2	0.5		5/8	5/8	4/4	3	2	1/8		1/8	1		9	39	D#2	2	219
12	12	77/2	81/2	0.5		5/8	5/8	4/4	2	2	1/8		1/8	1		9	51	D#3	3	212
12	12	39	41	0.5		3/4	3/4	4/4	3	2	1/8		1/8	1		7	37	C#2	2	220
12	12	39	41	0.5		3/4	3/4	4/4	2	2	1/8		1/8	1		7	49	C#3	3	213
12	12	39	41	1.0		3/4	3/4	4/4	2	1	1/4		1/4	1		7	61	C#4	4	208
12	12	39	41	1.0		3/4	3/4	4/4	1	2	1/4		1/4	1		4	64	E4	4	204
12	12	39	41	1.0		3/4	3/4	4/4	1	1	1/4		1/4	1		7	73	C#5	5	202
12	12	79/2	83/2	0.5		7/8	7/8	4/4	3	2	1/8		1/8	1		5	35	B1	1	221
12	12	79/2	83/2	0.5		7/8	7/8	4/4	2	2	1/8		1/8	1		5	47	B2	2	214
13	13	40	42	0.5		0	0	4/4	3	2	1/8		1/8	1		3	33	A1	1	238
13	13	40	42	0.5		0	0	4/4	2	2	1/8		1/8	1		3	45	A2	2	234
13	13	40	42	1.0		0	0	4/4	2	1	1/4		1/4	1		9	63	D#4	4	231
13	13	40	42	0.5		0	0	4/4	1	2	1/8		1/8	1		6	66	F#4	4	226
13	13	40	42	1.0		0	0	4/4	1	1	1/4		1/4	1		12	72	B#4	4	223
13	13	81/2	85/2	0.5		1/8	1/8	4/4	3	2	1/8		1/8	1		8	32	G#1	1	239
13	13	81/2	85/2	0.5		1/8	1/8	4/4	2	2	1/8		1/8	1		8	44	G#2	2	235
13	13	81/2	85/2	0.5		1/8	1/8	4/4	1	2	1/8		1/8	1		8	68	G#4	4	227
13	13	41	43	1.0		1/4	1/4	4/4	3	2	1/4		1/4	1		13	31	F##1	1	240
13	13	41	43	1.0		1/4	1/4	4/4	2	2	1/4		1/4	1		13	43	F##2	2	236
13	13	41	43	1.0		1/4	1/4	4/4	2	1	1/4		1/4	1		4	64	E4	4	232
13	13	41	43	0.5		1/4	1/4	4/4	1	2	1/8		1/8	1		10	70	A#4	4	228
13	13	41	43	2.0		1/4	1/4	4/4	1	1	1/2		1/2	1		7	73	C#5	5	224
13	13	83/2	87/2	0.5		3/8	3/8	4/4	1	2	1/8		1/8	1		10	70	A#4	4	229
