mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
14	13	35	38	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		2	74	D5	5	191
14	13	71/2	77/2	0.5		5/8	5/8	4/4	2	1	1/8	1/8	1		-1	65	F4	4	202
14	13	36	39	1.0		3/4	3/4	4/4	3	2	1/4	1/4	1		0	36	C2	2	211
14	13	36	39	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		0	48	C3	3	207
14	13	36	39	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		-3	63	Eb4	4	203
14	13	36	39	0.5		3/4	3/4	4/4	1	2	1/8	1/8	1		3	69	A4	4	197
14	13	36	39	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	192
14	13	73/2	79/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	198
15	14	37	40	1.0		0	0	4/4	3	2	1/4	1/4	1		2	38	D2	2	231
15	14	37	40	1.0		0	0	4/4	2	2	1/4	1/4	1		2	50	D3	3	227
15	14	37	40	0.5		0	0	4/4	2	1	1/8	1/8	1		-3	63	Eb4	4	221
15	14	37	40	1.0		0	0	4/4	1	2	1/4	1/4	1		-1	65	F4	4	217
15	14	37	40	1.0		0	0	4/4	1	1	1/4	1/4	1		-1	77	F5	5	212
15	14	75/2	81/2	0.5		1/8	1/8	4/4	2	1	1/8	1/8	1		2	62	D4	4	222
15	14	38	41	1.0		1/4	1/4	4/4	3	2	1/4	1/4	1		-3	39	Eb2	2	232
15	14	38	41	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		-3	51	Eb3	3	228
15	14	38	41	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		0	60	C4	4	223
15	14	38	41	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	218
15	14	38	41	0.5		1/4	1/4	4/4	1	1	1/8	1/8	1		-3	75	Eb5	5	213
15	14	77/2	83/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	224
15	14	77/2	83/2	0.5		3/8	3/8	4/4	1	1	1/8	1/8	1		2	74	D5	5	214
15	14	39	42	1.0		1/2	1/2	4/4	3	2	1/4	1/4	1		-1	41	F2	2	233
15	14	39	42	1.0		1/2	1/2	4/4	2	2	1/4	1/4	1		-1	53	F3	3	229
15	14	39	42	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		-1	65	F4	4	225
15	14	39	42	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	219
15	14	39	42	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		0	72	C5	5	215
15	14	40	43	1.0		3/4	3/4	4/4	3	2	1/4	1/4	1		1	43	G2	2	234
15	14	40	43	1.0		3/4	3/4	4/4	2	2	1/4	1/4	1		1	55	G3	3	230
15	14	40	43	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	226
15	14	40	43	1.0		3/4	3/4	4/4	1	2	1/4	1/4	1		-2	70	Bb4	4	220
15	14	40	43	1.0		3/4	3/4	4/4	1	1	1/4	1/4	1		-3	75	Eb5	5	216
16	15	41	44	1.0		0	0	4/4	3	2	1/4	1/4	1		-1	41	F2	2	254
16	15	41	44	1.0		0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	250
16	15	41	44	1.0		0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	245
16	15	41	44	1.0		0	0	4/4	1	2	1/4	1/4	1		-4	68	Ab4	4	240
16	15	41	44	1.0		0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	235
16	15	42	45	2.0		1/4	1/4	4/4	3	2	1/2	1/2	1		-3	39	Eb2	2	255
16	15	42	45	2.0		1/4	1/4	4/4	2	2	1/2	1/2	1		-3	51	Eb3	3	251
16	15	42	45	0.5		1/4	1/4	4/4	2	1	1/8	1/8	1		-2	58	Bb3	3	246
16	15	42	45	1.0		1/4	1/4	4/4	1	2	1/4	1/4	1		1	67	G4	4	241
16	15	42	45	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	236
16	15	85/2	91/2	0.5		3/8	3/8	4/4	2	1	1/8	1/8	1		0	60	C4	4	247
16	15	43	46	1.0		1/2	1/2	4/4	2	1	1/4	1/4	1		3	57	A3	3	248
16	15	43	46	1.0		1/2	1/2	4/4	1	2	1/4	1/4	1	1	-1	65	F4	4	242
16	15	43	46	1.0		1/2	1/2	4/4	1	1	1/4	1/4	1		-1	77	F5	5	237
16	15	44	47	0.5		3/4	3/4	4/4	3	2	1/8	1/8	1		2	38	D2	2	256
16	15	44	47	0.5		3/4	3/4	4/4	2	2	1/8	1/8	1		2	50	D3	3	252
16	15	44	47	1.0		3/4	3/4	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	249
16	15	44	47	0.5		3/4	3/4	4/4	1	2	1/8	1/8	1	-1	-1	65	F4	4	243
16	15	44	47	0.5		3/4	3/4	4/4	1	1	1/8	1/8	1		-2	70	Bb4	4	238
16	15	89/2	95/2	0.5		7/8	7/8	4/4	3	2	1/8	1/8	1		-3	39	Eb2	2	257
16	15	89/2	95/2	0.5		7/8	7/8	4/4	2	2	1/8	1/8	1		-3	51	Eb3	3	253
16	15	89/2	95/2	0.5		7/8	7/8	4/4	1	2	1/8	1/8	1		1	67	G4	4	244
16	15	89/2	95/2	0.5		7/8	7/8	4/4	1	1	1/8	1/8	1		0	72	C5	5	239
17	16	45	48	1.0		0	0	4/4	3	2	1/4	1/4	1		-1	41	F2	2	272
17	16	45	48	1.0		0	0	4/4	2	2	1/4	1/4	1		-1	53	F3	3	269
17	16	45	48	1.0		0	0	4/4	2	1	1/4	1/4	1		-2	58	Bb3	3	266
17	16	45	48	0.5		0	0	4/4	1	2	1/8	1/8	1		-1	65	F4	4	261
17	16	45	48	1.0		0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	258
17	16	91/2	97/2	0.5		1/8	1/8	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	262
17	16	46	49	1.0		1/4	1/4	4/4	3	2	1/4	1/4	1		-1	29	F1	1	273
17	16	46	49	1.0		1/4	1/4	4/4	2	2	1/4	1/4	1		-1	41	F2	2	270
17	16	46	49	1.0		1/4	1/4	4/4	2	1	1/4	1/4	1		3	57	A3	3	267
17	16	46	49	0.5		1/4	1/4	4/4	1	2	1/8	1/8	1		-3	63	Eb4	4	263
17	16	46	49	1.0		1/4	1/4	4/4	1	1	1/4	1/4	1		0	72	C5	5	259
17	16	93/2	99/2	0.5		3/8	3/8	4/4	1	2	1/8	1/8	1		2	62	D4	4	264
17	16	47	50	1.0		1/2	1/2	4/4	3	2	1/4	1/4	1		-2	34	Bb1	1	274
