mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur	crescendo_hairpin	decrescendo_hairpin
8	7	26	26	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	178										
8	7	27	27	0.5	1/2	1/2	Chord	4/4	4	2	1/8	1/8	1	179										
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	4	2	1/8	1/8	1	180										
8	7	28	28	1.0	3/4	3/4	Chord	4/4	4	2	1/4	1/4	1	181										
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	182	Trost							18		
9	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	183										
9	8	31	31	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	184	sein.									
9	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	185								19		
9	8	59/2	59/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4	1/4	1	186								19		
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	187										
9	8	31	31	2.0	1/2	1/2	Chord	4/4	1	2	1/2	1/2	1	188										
9	8	29	29	0.25	0	0	Chord	4/4	2	1	1/16	1/16	1	189								20		
9	8	117/4	117/4	0.25	1/16	1/16	Chord	4/4	2	1	1/16	1/16	1	190								20		
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	191								20		
9	8	30	30	0.25	1/4	1/4	Chord	4/4	2	1	1/16	1/16	1	192								20		
9	8	121/4	121/4	0.25	5/16	5/16	Chord	4/4	2	1	1/16	1/16	1	193								20		
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	194										
9	8	31	31	2.0	1/2	1/2	Chord	4/4	2	1	1/2	1/2	1	195										
9	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	196								21		
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	197								21		
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	198										
9	8	31	31	2.0	1/2	1/2	Chord	4/4	2	2	1/2	1/2	1	199										
9	8	29	29	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	200								22		
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	201								22		
9	8	30	30	1.0	1/4	1/4	Chord	4/4	4	2	1/4	1/4	1	202										
9	8	31	31	2.0	1/2	1/2	Chord	4/4	4	2	1/2	1/2	1	203										
10	9	33	33	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=62	62.0	𝅘𝅥	62.0	0.0			
10	9	33	33	0.0	0	0	Dynamic	4/4	1	1	0					mf								
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	204	Ky-									
10	9	34	34	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0			
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	205	-ri-									
10	9	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=56	56.0	𝅘𝅥	56.0	0.0			
10	9	35	35	2.0	1/2	1/2	Chord	4/4	1	1	1/2	1/2	1	206	-e-									
10	9	36	36	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=53	53.0	𝅘𝅥	53.0	0.0			
10	9	73/2	73/2	0.0	7/8	7/8	Tempo	4/4	1	1	0						𝅘𝅥=52	52.0	𝅘𝅥	52.0	0.0			
10	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	207										
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	208								23		
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	209								23		
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	210								23		
10	9	33	33	0.0	0	0	Dynamic	4/4	2	1	0					mf								
10	9	33	33	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	211										
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	212										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	213										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	214										
10	9	35	35	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	215								24		
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	216								24		
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	217								24		
10	9	33	33	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	218										
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	219										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	220										
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	221										
10	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	222								25		
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	223								25		
10	9	36	36	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	224								25		
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	225										
10	9	33	33	0.5	0	0	Chord	4/4	4	2	1/8	1/8	1	226										
10	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	4	2	1/8	1/8	1	227										
10	9	34	34	0.5	1/4	1/4	Chord	4/4	4	2	1/8	1/8	1	228										
