mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	lyrics_5	lyrics_6	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
12	9	71/2	71/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4	1/4	1	203												
12	9	73/2	73/2	0.25	7/8	7/8	Chord	4/4	1	2	1/16	1/16	1	204												
12	9	147/4	147/4	0.25	15/16	15/16	Chord	4/4	1	2	1/16	1/16	1	205												
12	9	33	33	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	206												13
12	9	67/2	67/2	0.25	1/8	1/8	Chord	4/4	2	1	1/16	1/16	1	207												13
12	9	135/4	135/4	0.25	3/16	3/16	Chord	4/4	2	1	1/16	1/16	1	208												
12	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	209												
12	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	210												
12	9	35	35	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	211												14
12	9	71/2	71/2	0.25	5/8	5/8	Chord	4/4	2	1	1/16	1/16	1	212												14
12	9	143/4	143/4	0.25	11/16	11/16	Chord	4/4	2	1	1/16	1/16	1	213												
12	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	214												
12	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	215												
12	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	216												
12	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	217												
12	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	218												
12	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	219												
12	9	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	220												
12	9	33	33	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	221												
12	9	34	34	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	222												
12	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	223												
12	9	35	35	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	224												
12	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	225												
12	9	36	36	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	226												
13	10	37	37	0.0	0	0	Tempo	4/4	1	1	0										𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	
13	10	37	37	3.0	0	0	Chord	4/4	1	1	3/4	1/2	3/2	227		Gott!	Gott!									
13	10	37	37	3.0	0	0	Chord	4/4	1	2	3/4	1/2	3/2	228												
13	10	37	37	3.0	0	0	Chord	4/4	2	1	3/4	1/2	3/2	229												
13	10	37	37	3.0	0	0	Chord	4/4	2	2	3/4	1/2	3/2	230												
13	10	37	37	3.0	0	0	Chord	4/4	3	2	3/4	1/2	3/2	231												
14	10	40	40	0.0	0	3/4	Tempo	4/4	1	1	0										𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
14	10	40	40	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	232	Hei-											
14	10	40	40	0.5	0	3/4	Chord	4/4	1	2	1/8	1/8	1	233												
14	10	81/2	81/2	0.5	1/8	7/8	Chord	4/4	1	2	1/8	1/8	1	234												
14	10	40	40	0.5	0	3/4	Chord	4/4	2	1	1/8	1/8	1	235												
14	10	81/2	81/2	0.5	1/8	7/8	Chord	4/4	2	1	1/8	1/8	1	236												
14	10	40	40	0.5	0	3/4	Chord	4/4	2	2	1/8	1/8	1	237												
14	10	81/2	81/2	0.5	1/8	7/8	Chord	4/4	2	2	1/8	1/8	1	238												
14	10	40	40	0.5	0	3/4	Chord	4/4	3	2	1/8	1/8	1	239												
14	10	81/2	81/2	0.5	1/8	7/8	Chord	4/4	3	2	1/8	1/8	1	240												
