mc	mn	mc_playthrough	mn_playthrough	quarterbeats_playthrough	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id	start	end
6	5	12	5b	39	19	1.0	1/2	1/2	4/4	2	2	1/4	1/4	1		5	47	B2	2	72	26.72	27.68
6	5	12	5b	39	19	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	69	26.72	27.68
6	5	12	5b	39	19	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		6	66	F#4	4	66	26.72	27.68
6	5	12	5b	39	19	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		5	71	B4	4	63	26.72	27.68
7	5	13	5b	40	20	1.0	0	3/4	4/4	2	2	1/4	1/4	1		6	54	F#3	3	76	27.68	28.38
7	5	13	5b	40	20	1.0	0	3/4	4/4	2	1	1/4	1/4	1		6	66	F#4	4	75	27.68	28.38
7	5	13	5b	40	20	1.0	0	3/4	4/4	1	2	1/4	1/4	1		10	70	A#4	4	74	27.68	28.38
7	5	13	5b	40	20	1.0	0	3/4	4/4	1	1	1/4	1/4	1		7	73	C#5	5	73	27.68	28.38
8	6	14	6a	41	21	1.0	0	0	4/4	2	2	1/4	1/4	1		5	59	B3	3	89	28.38	29.08
8	6	14	6a	41	21	1.0	0	0	4/4	2	1	1/4	1/4	1		6	66	F#4	4	85	28.38	29.08
8	6	14	6a	41	21	1.0	0	0	4/4	1	2	1/4	1/4	1		5	71	B4	4	81	28.38	29.08
8	6	14	6a	41	21	1.0	0	0	4/4	1	1	1/4	1/4	1		2	74	D5	5	77	28.38	29.08
8	6	14	6a	42	22	1.0	1/4	1/4	4/4	2	2	1/4	1/4	1		7	61	C#4	4	90	29.08	29.76
8	6	14	6a	42	22	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	86	29.08	29.76
8	6	14	6a	42	22	1.0	1/4	1/4	4/4	1	2	1/4	1/4	1		3	69	A4	4	82	29.08	29.76
8	6	14	6a	42	22	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		4	76	E5	5	78	29.08	29.76
8	6	14	6a	43	23	0.5	1/2	1/2	4/4	2	2	1/8	1/8	1		2	62	D4	4	91	29.76	30.058333333333334
8	6	14	6a	43	23	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		2	62	D4	4	87	29.76	30.4
8	6	14	6a	43	23	1.0	1/2	1/2	4/4	1	2	1/4	1/4	1		3	69	A4	4	83	29.76	30.4
8	6	14	6a	43	23	1.0	1/2	1/2	4/4	1	1	1/4	1/4	1		6	78	F#5	5	79	29.76	30.4
8	6	14	6a	87/2	47/2	0.5	5/8	5/8	4/4	2	2	1/8	1/8	1		7	61	C#4	4	92	30.058333333333334	30.4
8	6	14	6a	44	24	0.5	3/4	3/4	4/4	2	2	1/8	1/8	1		5	59	B3	3	93	30.4	30.66
8	6	14	6a	44	24	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62	D4	4	88	30.4	31.12
8	6	14	6a	44	24	1.0	3/4	3/4	4/4	1	2	1/4	1/4	1		5	71	B4	4	84	30.4	31.12
8	6	14	6a	44	24	1.0	3/4	3/4	4/4	1	1	1/4	1/4	1		6	78	F#5	5	80	30.4	31.12
8	6	14	6a	89/2	49/2	0.5	7/8	7/8	4/4	2	2	1/8	1/8	1		3	57	A3	3	94	30.66	31.12
