mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	thoroughbass_duration	thoroughbass_level_1	thoroughbass_level_2	thoroughbass_level_3	thoroughbass_level_4	slur
8	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	125												
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	126												
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	127												
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	128												
8	7	25	25	0.0	0	0	FiguredBass	4/4	2	1	0										1/4	6	5			
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	129												
8	7	26	26	0.0	1/4	1/4	FiguredBass	4/4	2	1	0										1/4	#				
8	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	130												11
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	131												
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	132												
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	133												
8	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	134												
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	135												
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	136												
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	137												
9	8	29	29	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0						
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	138	al-											
9	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0						
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	139	-lent-											
9	8	31	31	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	140	-hal-											12
9	8	63/2	63/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	141												
9	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0						
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	142	-ben											
9	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	143												
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	144												
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	145												
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	146												
9	8	32	32	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	147												
9	8	65/2	65/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	148												
9	8	29	29	0.0	0	0	FiguredBass	4/4	2	1	0										1/8	6	*			
9	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	149												
