mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
15	13	48	50	0.5		0	0	Chord	4/4	2	2	1/8		1/8	1	200	-mehr							
15	13	97/2	101/2	0.5		1/8	1/8	Chord	4/4	2	2	1/8		1/8	1	201								
15	13	49	51	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	202	zu							
15	13	50	52	1.0		1/2	1/2	Chord	4/4	2	2	1/4		1/4	1	203								8
15	13	51	53	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	204								8
16	14	52	54	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	205								
16	14	53	55	0.0		1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
16	14	53	55	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	206	-den							
16	14	107/2	111/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	207								
16	14	54	56	0.0		1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
16	14	54	56	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	208	wer-							9
16	14	55	57	0.0		3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	9
16	14	55	57	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	209								9
16	14	52	54	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	210								6
16	14	105/2	109/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	211								6
16	14	53	55	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	212								6
16	14	107/2	111/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	213								6
16	14	54	56	1.0		1/2	1/2	Chord	4/4	1	2	1/4		1/4	1	214								
16	14	55	57	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	215	-den							
16	14	52	54	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	216								7
16	14	53	55	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	217								7
16	14	54	56	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	218								
16	14	55	57	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	219								
16	14	52	54	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	220								8
16	14	53	55	2.0		1/4	1/4	Chord	4/4	2	2	1/2		1/2	1	221								
16	14	55	57	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	222								
17	15	56	58	0.0		0	0	Tempo	4/4	1	1	0							𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	9
17	15	56	58	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	223								9
17	15	57	59	0.0		1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=63	63.0	𝅘𝅥	63.0	0.0	
17	15	57	59	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	224								
17	15	58	60	2.0		1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	225	-de..							
17	15	56	58	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	226	wer-							
17	15	58	60	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	227	de.							
17	15	56	58	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	228								10
17	15	113/2	117/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	229								10
17	15	57	59	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	230								
17	15	58	60	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	231								
17	15	56	58	2.0		0	0	Chord	4/4	2	2	1/2		1/2	1	232								
17	15	58	60	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	233								
